#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 11 24 23 42 240  3.1  4.6    MM    MM    MM  MM 1019.3  14.6  13.5    MM   MM   MM    MM
2019 11 24 23 36 240  2.6  4.1    MM    MM    MM  MM 1019.3  14.5  13.5    MM   MM   MM    MM
2019 11 24 23 30 210  1.5  4.1    MM    MM    MM  MM 1019.3  14.4  13.6    MM   MM   MM    MM
2019 11 24 23 24 190  2.1  3.1    MM    MM    MM  MM 1019.5  14.3  13.6    MM   MM   MM    MM
2019 11 24 23 18  60  0.5  2.1    MM    MM    MM  MM 1019.6  14.3  13.5    MM   MM   MM    MM
2019 11 24 22 54 230  3.6  5.7    MM    MM    MM  MM 1019.7  14.8  13.4    MM   MM   MM    MM
2019 11 24 22 48 230  4.6  6.2    MM    MM    MM  MM 1019.7  14.5  13.4    MM   MM   MM    MM
2019 11 24 22 42 240  4.6  6.2    MM    MM    MM  MM 1019.9  14.2  13.4    MM   MM   MM    MM
2019 11 24 22 36 240  5.7  7.7    MM    MM    MM  MM 1020.1  13.8  13.3    MM   MM   MM    MM
2019 11 24 22 30 240  6.2  7.7    MM    MM    MM  MM 1020.2  14.2  13.3    MM   MM   MM    MM
2019 11 24 22 24 250  5.1  6.7    MM    MM    MM  MM 1020.4  14.6  13.4    MM   MM   MM    MM
2019 11 24 22 18 260  5.1  7.2    MM    MM    MM  MM 1020.4  15.1  13.4    MM   MM   MM    MM
2019 11 24 22 12 260  5.1  6.7    MM    MM    MM  MM 1020.4  15.6  13.4    MM   MM   MM    MM
2019 11 24 22 06 270  4.1  5.1    MM    MM    MM  MM 1020.4  16.7  13.3    MM   MM   MM    MM
2019 11 24 22 00 260  2.6  4.6    MM    MM    MM  MM 1020.4  16.6  13.3    MM   MM -2.2    MM
2019 11 24 21 54 240  3.6  5.7    MM    MM    MM  MM 1020.3  16.0  13.3    MM   MM   MM    MM
2019 11 24 21 48 240  3.6  5.1    MM    MM    MM  MM 1020.6  15.4  13.3    MM   MM   MM    MM
2019 11 24 21 42 260  3.1  4.6    MM    MM    MM  MM 1021.1  15.5  13.2    MM   MM   MM    MM
2019 11 24 21 36 250  2.6  4.6    MM    MM    MM  MM 1021.3  15.6  13.2    MM   MM   MM    MM
2019 11 24 21 30 260  3.6  5.1    MM    MM    MM  MM 1021.4  15.4  13.2    MM   MM   MM    MM
2019 11 24 21 24 260  2.6  3.6    MM    MM    MM  MM 1021.3  15.0  13.2    MM   MM   MM    MM
2019 11 24 21 18 270  1.5  2.6    MM    MM    MM  MM 1021.1  15.1  13.2    MM   MM   MM    MM
2019 11 24 21 12 240  2.6  3.6    MM    MM    MM  MM 1021.1  14.9  13.2    MM   MM   MM    MM
2019 11 24 21 06 250  2.6  4.1    MM    MM    MM  MM 1021.0  14.9  13.2    MM   MM   MM    MM
2019 11 24 21 00 260  2.1  3.1    MM    MM    MM  MM 1021.1  14.7  13.2    MM   MM -2.2    MM
2019 11 24 20 54 300  2.6  3.1    MM    MM    MM  MM 1021.1  14.3  13.1    MM   MM   MM    MM
2019 11 24 20 48 290  1.5  2.6    MM    MM    MM  MM 1020.9  13.9  13.2    MM   MM   MM    MM
2019 11 24 20 42 340  0.5  1.5    MM    MM    MM  MM 1021.1  13.5  13.1    MM   MM   MM    MM
2019 11 24 20 36  20  0.5  1.0    MM    MM    MM  MM 1021.2  13.2  13.1    MM   MM   MM    MM
2019 11 24 20 30  40  0.5  1.0    MM    MM    MM  MM 1021.4  13.1  13.1    MM   MM   MM    MM
2019 11 24 20 24  70  1.0  1.0    MM    MM    MM  MM 1021.6  12.9  13.2    MM   MM   MM    MM
2019 11 24 20 18  70  1.0  1.5    MM    MM    MM  MM 1021.7  12.8  13.2    MM   MM   MM    MM
2019 11 24 20 12  70  1.5  2.1    MM    MM    MM  MM 1021.7  12.7  13.1    MM   MM   MM    MM
2019 11 24 20 06  80  2.1  2.1    MM    MM    MM  MM 1021.7  12.8  13.1    MM   MM   MM    MM
2019 11 24 20 00  60  1.5  2.1    MM    MM    MM  MM 1021.8  13.1  13.1    MM   MM -1.1    MM
2019 11 24 19 54  60  2.1  2.1    MM    MM    MM  MM 1021.6  12.8  13.1    MM   MM   MM    MM
2019 11 24 19 48  70  2.1  2.6    MM    MM    MM  MM 1021.5  12.8  13.1    MM   MM   MM    MM
2019 11 24 19 42  70  2.1  2.6    MM    MM    MM  MM 1021.5  12.9  13.1    MM   MM   MM    MM
2019 11 24 19 36  70  2.1  2.6    MM    MM    MM  MM 1021.6  13.1  13.1    MM   MM   MM    MM
2019 11 24 19 30  70  2.6  2.6    MM    MM    MM  MM 1021.7  13.0  13.1    MM   MM   MM    MM
2019 11 24 19 24  90  2.6  3.1    MM    MM    MM  MM 1021.9  13.1  13.1    MM   MM   MM    MM
2019 11 24 19 18  80  2.1  2.1    MM    MM    MM  MM 1022.2  13.2  13.1    MM   MM   MM    MM
2019 11 24 19 12  80  1.5  1.5    MM    MM    MM  MM 1022.3  13.0  13.1    MM   MM   MM    MM
2019 11 24 19 06 100  1.5  1.5    MM    MM    MM  MM 1022.5  13.0  13.1    MM   MM   MM    MM
2019 11 24 19 00  80  1.5  2.1    MM    MM    MM  MM 1022.6  12.7  13.1    MM   MM -0.3    MM
2019 11 24 18 54  70  2.1  2.6    MM    MM    MM  MM 1022.7  12.8  13.1    MM   MM   MM    MM
2019 11 24 18 48  80  2.6  2.6    MM    MM    MM  MM 1022.7  12.6  13.1    MM   MM   MM    MM
2019 11 24 18 42  90  2.1  2.6    MM    MM    MM  MM 1022.7  12.5  13.1    MM   MM   MM    MM
2019 11 24 18 36  60  2.1  2.6    MM    MM    MM  MM 1022.9  12.5  13.1    MM   MM   MM    MM
2019 11 24 18 30  50  2.6  3.1    MM    MM    MM  MM 1023.0  12.4  13.1    MM   MM   MM    MM
2019 11 24 18 24  60  2.6  3.1    MM    MM    MM  MM 1023.0  12.3  13.1    MM   MM   MM    MM
2019 11 24 18 18  80  2.6  3.1    MM    MM    MM  MM 1022.8  12.1  13.1    MM   MM   MM    MM
2019 11 24 18 12  60  2.6  2.6    MM    MM    MM  MM 1023.1  12.0  13.1    MM   MM   MM    MM
2019 11 24 18 06  60  2.6  2.6    MM    MM    MM  MM 1023.2  12.1  13.1    MM   MM   MM    MM
2019 11 24 18 00  70  2.6  2.6    MM    MM    MM  MM 1023.3  12.1  13.1    MM   MM   MM    MM
2019 11 24 17 54  60  1.5  2.1    MM    MM    MM  MM 1023.3  12.1  13.1    MM   MM   MM    MM
2019 11 24 17 48  90  1.5  2.1    MM    MM    MM  MM 1023.3  12.1  13.1    MM   MM   MM    MM
